"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 08:48:08 WAT 2022","Wed Dec 07 08:48:32 WAT 2022","24496","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","negativeSignInEmail","negativeSignInEmail",""
"passed","Wed Dec 07 08:47:47 WAT 2022","Wed Dec 07 08:48:02 WAT 2022","15456","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","positiveSignIn","positiveSignIn",""
"passed","Wed Dec 07 08:48:32 WAT 2022","Wed Dec 07 08:48:56 WAT 2022","23568","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","negativeSignInPassword","negativeSignInPassword",""
"passed","Wed Dec 07 08:47:35 WAT 2022","Wed Dec 07 08:47:41 WAT 2022","5212","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","getPageTitle","getPageTitle",""
"passed","Wed Dec 07 08:47:29 WAT 2022","Wed Dec 07 08:47:35 WAT 2022","6358","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","getUrl","getUrl",""
"passed","Wed Dec 07 08:48:02 WAT 2022","Wed Dec 07 08:48:08 WAT 2022","5623","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","LogoutSuccessfully","LogoutSuccessfully",""
"passed","Wed Dec 07 08:47:41 WAT 2022","Wed Dec 07 08:47:47 WAT 2022","5880","Default Suite","JumiaAutomationTestProject","JumiaWebTest","JumiaWebTest","signIN","signIN",""
